,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
1704,2007,Santa Cruz County,730,880,260348.0,338.0091262464087,280.39393427258904,1,0
1705,2008,Santa Cruz County,797,774,261026.0,296.5221855294109,305.3335683035407,1,0
1706,2009,Santa Cruz County,753,872,261704.0,333.20086815639047,287.72964876348857,1,0
1814,2000,Siskiyou County,247,87,44301.0,196.38382880747614,557.5494909821449,1,0
1815,2001,Siskiyou County,203,83,44360.9,187.1017044289002,457.6101927598403,1,0
1816,2002,Siskiyou County,207,153,44420.8,344.43323848287287,465.9979108885927,1,0
1817,2003,Siskiyou County,220,163,44480.7,366.45106754165295,494.5965328783046,1,0
1818,2004,Siskiyou County,183,127,44540.6,285.1331145067646,410.86110200581044,1,0
1819,2005,Siskiyou County,197,178,44600.5,399.09866481317476,441.69908409098554,1,0
1820,2006,Siskiyou County,252,194,44660.4,434.3893023797369,564.258269070586,1,0
1821,2007,Siskiyou County,182,140,44720.3,313.0569338756672,406.97401403836733,1,0
1822,2008,Siskiyou County,203,154,44780.2,343.9019923984261,453.3253536161071,1,0
1823,2009,Siskiyou County,189,180,44840.1,401.42640181444733,421.4977219051697,1,0
1853,2000,Solano County,1751,1426,394542.0,361.4317360382418,443.80572917458727,1,0
1854,2001,Solano County,1742,1664,396422.2,419.7544940722291,439.4304859818648,1,0
1855,2002,Solano County,1665,1712,398302.4,429.8241737935799,418.0240942560225,1,0
1856,2003,Solano County,1609,1683,400182.6,420.55801526603113,402.0664566625336,1,0
1857,2004,Solano County,1518,1404,402062.8,349.19917982961863,377.5529593884338,1,0
1858,2005,Solano County,1508,1559,403943.0,385.9455418214946,373.3199981185464,1,0
1859,2006,Solano County,2034,1991,405823.2,490.60773262839575,501.20347974191714,1,0
1860,2007,Solano County,1962,1837,407703.4,450.57264668383925,481.2321898713623,1,0
1861,2008,Solano County,1674,1518,409583.6,370.6203080396774,408.7077705259684,1,0
1862,2009,Solano County,1599,1422,411463.8,345.59540839315633,388.6125583830218,1,0
1892,2000,Sonoma County,1507,1681,458614.0,366.5391810978295,328.59877805736414,1,0
1893,2001,Sonoma County,1548,1449,461140.4,314.22100514290224,335.68952102223096,1,0
1894,2002,Sonoma County,1448,1271,463666.8,274.1192597787894,312.2932243585264,1,0
1895,2003,Sonoma County,1126,1010,466193.2,216.64837668159896,241.53076449849547,1,0
1896,2004,Sonoma County,1415,1463,468719.6,312.1269091371472,301.88624499594215,1,0
1897,2005,Sonoma County,1511,1735,471246.0,368.17288634810694,320.6393263815502,1,0
1898,2006,Sonoma County,1453,1614,473772.4,340.6699081668751,306.6873460758795,1,0
1899,2007,Sonoma County,1421,1615,476298.8,339.07286770405466,298.3421331315552,1,0
1900,2008,Sonoma County,1408,1471,478825.2,307.21023037216924,294.0530281196562,1,0
1901,2009,Sonoma County,1359,1682,481351.6,349.43272235929,282.33000575878424,1,0
1931,2000,Stanislaus County,2299,2319,446997.0,518.795428157236,514.3211251977083,1,0
1932,2001,Stanislaus County,2570,2041,453742.6,449.8144983521494,566.4004217369055,1,0
1933,2002,Stanislaus County,2459,1907,460488.2,414.1257039811226,533.9984824801156,1,0
1934,2003,Stanislaus County,2420,1924,467233.8,411.78527752059034,517.941981080992,1,0
1935,2004,Stanislaus County,2348,2184,473979.4,460.77951910990225,495.38017896980335,1,0
1936,2005,Stanislaus County,2462,2896,480725.0,602.4234229549119,512.1431171667793,1,0
1937,2006,Stanislaus County,2330,2772,487470.6,568.6496785652304,477.97754367135167,1,0
1938,2007,Stanislaus County,2500,2456,494216.2,496.948501485787,505.85148766875716,1,0
1939,2008,Stanislaus County,2170,2202,500961.8,439.554473015707,433.1667604196568,1,0
1940,2009,Stanislaus County,2211,2209,507707.4,435.0931264740281,435.48705415757183,1,0
2009,2000,Tehama County,197,184,56039.0,328.34276129124356,351.5408911650814,1,0
2010,2001,Tehama County,329,377,56781.4,663.9498145519483,579.4150901527612,1,0
2011,2002,Tehama County,324,508,57523.8,883.1127289921736,563.2451263650871,1,0
2012,2003,Tehama County,317,450,58266.2,772.3173984230995,544.054700666939,1,0
2013,2004,Tehama County,211,356,59008.6,603.3018915886837,357.57499754273107,1,0
2014,2005,Tehama County,257,406,59751.0,679.486535790196,430.1183243795083,1,0
2015,2006,Tehama County,301,362,60493.4,598.4123887895208,497.574942059795,1,0
2016,2007,Tehama County,229,304,61235.8,496.44162401732314,373.96424967094407,1,0
2017,2008,Tehama County,244,329,61978.2,530.8318086036704,393.68681245986494,1,0
2018,2009,Tehama County,236,457,62720.6,728.6282337860289,376.27191066411996,1,0
2048,2000,Trinity County,81,127,13022.0,975.2726155736445,622.0242666257103,1,0
2049,2001,Trinity County,93,80,13098.4,610.7616197398156,710.0103829475356,1,0
2050,2002,Trinity County,93,103,13174.8,781.7955490785439,705.8930685854814,1,0
2051,2003,Trinity County,82,112,13251.2,845.2064718666987,618.8118811881187,1,0
