,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
338,2006,El Dorado County,577,475,171154.4,277.52719182212087,337.1225045923447,0,0
339,2007,El Dorado County,576,405,173630.3,233.2542188776959,331.73933351494526,0,0
340,2008,El Dorado County,528,401,176106.2,227.7035107225072,299.81908643761545,0,0
341,2009,El Dorado County,570,403,178582.1,225.66651416911324,319.18092574787727,0,0
605,2000,Kings County,691,312,129461.0,240.9992198422691,533.7514772788716,0,0
606,2001,Kings County,655,268,131813.1,203.31818309409306,496.91570868145874,0,0
607,2002,Kings County,667,430,134165.2,320.5003980167733,497.1482918074135,0,0
608,2003,Kings County,677,462,136517.3,338.41864730697137,495.9078446467957,0,0
609,2004,Kings County,723,414,138869.4,298.1218324555302,520.63305523031,0,0
610,2005,Kings County,666,475,141221.5,336.3510513625758,471.5995793841589,0,0
611,2006,Kings County,543,397,143573.6,276.5132308446678,378.2032351351502,0,0
612,2007,Kings County,491,357,145925.7,244.6450488159385,336.4726021530135,0,0
613,2008,Kings County,524,289,148277.8,194.90442938862057,353.3907301025508,0,0
614,2009,Kings County,390,278,150629.9,184.55831146405862,258.9127391042549,0,0
683,2000,Lassen County,101,53,33828.0,156.6749438335107,298.5692325883883,0,0
684,2001,Lassen County,82,49,33934.7,144.39497034009437,241.64056260995386,0,0
685,2002,Lassen County,110,59,34041.4,173.31837115982304,323.13594623017855,0,0
686,2003,Lassen County,83,56,34148.1,163.9915544349466,243.05891103751014,0,0
687,2004,Lassen County,75,55,34254.8,160.56143956467415,218.947417588192,0,0
688,2005,Lassen County,116,89,34361.5,259.0108115187055,337.5871251255038,0,0
689,2006,Lassen County,80,65,34468.2,188.57961831485252,232.0979917721262,0,0
690,2007,Lassen County,102,73,34574.9,211.1358239647837,295.01169923846487,0,0
691,2008,Lassen County,111,45,34681.6,129.75179922494925,320.05443808820814,0,0
692,2009,Lassen County,101,35,34788.3,100.60853792798152,290.3274951636038,0,0
761,2000,Madera County,575,341,123109.0,276.9903094006125,467.06577098343746,0,0
762,2001,Madera County,501,366,125884.6,290.742473662386,397.9835500132661,0,0
763,2002,Madera County,430,369,128660.2,286.8019791668286,334.21368845998995,0,0
764,2003,Madera County,423,383,131435.8,291.39701664234553,321.8301254300579,0,0
765,2004,Madera County,430,400,134211.4,298.0372755220495,320.3900711862033,0,0
766,2005,Madera County,467,398,136987.0,290.5385182535569,340.90826136786706,0,0
767,2006,Madera County,513,479,139762.6,342.7240191582011,367.050985027468,0,0
768,2007,Madera County,518,472,142538.2,331.13930160476275,363.41135218488796,0,0
